2024-11-30T14:39:25.054+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] c.t.e.Main                               : Starting Main using Java 17.0.9 with PID 20528 (C:\Users\aashatalov\Documents\GitHub\fin-tech-java-2024\out\production\classes started by aashatalov in C:\Users\aashatalov\Documents\GitHub\fin-tech-java-2024)
2024-11-30T14:39:25.091+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] c.t.e.Main                               : Running with Spring Boot v3.2.0, Spring v6.1.1
2024-11-30T14:39:25.098+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] c.t.e.Main                               : No active profile set, falling back to 1 default profile: "default"
2024-11-30T14:39:30.503+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.s.b.w.e.t.TomcatWebServer              : Tomcat initialized with port 8080 (http)
2024-11-30T14:39:30.530+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardService                  : Starting service [Tomcat]
2024-11-30T14:39:30.531+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardEngine                   : Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-11-30T14:39:30.537+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : Starting ROOT
2024-11-30T14:39:30.563+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : Configuring default Resources
2024-11-30T14:39:30.582+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : Processing standard container startup
2024-11-30T14:39:30.583+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.l.WebappLoader                     : Starting this Loader
2024-11-30T14:39:30.674+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.a.AuthenticatorBase                : No SingleSignOn Valve is present
2024-11-30T14:39:30.676+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : No manager found. Checking if cluster manager should be used. Cluster configured: [false], Application distributable: [false]
2024-11-30T14:39:30.682+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : Configured a manager of class [org.apache.catalina.session.StandardManager]
2024-11-30T14:39:30.704+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        : Initializing Spring embedded WebApplicationContext
2024-11-30T14:39:30.710+03:00  INFO 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 5332 ms
2024-11-30T14:39:31.141+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.ContainerBase                    : Add child StandardWrapper[dispatcherServlet] StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]
2024-11-30T14:39:31.166+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : Configuring application event listeners
2024-11-30T14:39:31.166+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        : Sending application start events
2024-11-30T14:39:31.170+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.s.StandardManager                  : Start: Loading persisted sessions
2024-11-30T14:39:31.171+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        : Starting filters
2024-11-30T14:39:31.172+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        :  Starting filter 'requestContextFilter'
2024-11-30T14:39:31.186+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        :  Starting filter 'webMvcObservationFilter'
2024-11-30T14:39:31.190+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        :  Starting filter 'Tomcat WebSocket (JSR356) Filter'
2024-11-30T14:39:31.191+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        :  Starting filter 'characterEncodingFilter'
2024-11-30T14:39:31.193+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        :  Starting filter 'logFilter'
2024-11-30T14:39:31.194+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] c.t.e.h.LogFilter                        : Filter 'logFilter' configured for use
2024-11-30T14:39:31.195+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.C.[.[.[/]                        :  Starting filter 'formContentFilter'
2024-11-30T14:39:31.195+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.c.StandardContext                  : Starting completed
2024-11-30T14:39:31.202+03:00 DEBUG 20528 --- ${sys:LOGGED_APPLICATION_NAME}[main] o.a.c.m.Mapper                           : Registered host [localhost]
